"","H","W","InstNr","moves"
"1",5,5,1,22
"2",5,5,2,16
"3",5,5,3,22
"4",5,5,4,21
"5",5,5,5,16
"6",5,5,6,17
"7",5,5,7,19
"8",5,5,8,16
"9",5,5,9,12
"10",5,5,10,22
"11",5,5,11,23
"12",5,5,12,18
"13",5,5,13,19
"14",5,5,14,20
"15",5,5,15,21
"16",5,5,16,17
"17",5,5,17,21
"18",5,5,18,16
"19",5,5,19,21
"20",5,5,20,17
"21",5,5,21,17
"22",5,5,22,19
"23",5,5,23,17
"24",5,5,24,20
"25",5,5,25,19
"26",5,5,26,25
"27",5,5,27,19
"28",5,5,28,21
"29",5,5,29,21
"30",5,5,30,14
"31",5,5,31,24
"32",5,5,32,15
"33",5,5,33,22
"34",5,5,34,23
"35",5,5,35,17
"36",5,5,36,20
"37",5,5,37,17
"38",5,5,38,16
"39",5,5,39,15
"40",5,5,40,17
"41",5,6,1,27
"42",5,6,2,16
"43",5,6,3,24
"44",5,6,4,24
"45",5,6,5,23
"46",5,6,6,17
"47",5,6,7,20
"48",5,6,8,18
"49",5,6,9,25
"50",5,6,10,21
"51",5,6,11,19
"52",5,6,12,22
"53",5,6,13,22
"54",5,6,14,20
"55",5,6,15,24
"56",5,6,16,24
"57",5,6,17,22
"58",5,6,18,26
"59",5,6,19,23
"60",5,6,20,20
"61",5,6,21,23
"62",5,6,22,20
"63",5,6,23,24
"64",5,6,24,21
"65",5,6,25,25
"66",5,6,26,27
"67",5,6,27,22
"68",5,6,28,24
"69",5,6,29,24
"70",5,6,30,16
"71",5,6,31,19
"72",5,6,32,24
"73",5,6,33,22
"74",5,6,34,24
"75",5,6,35,26
"76",5,6,36,23
"77",5,6,37,23
"78",5,6,38,24
"79",5,6,39,18
"80",5,6,40,21
"81",5,7,1,18
"82",5,7,2,24
"83",5,7,3,29
"84",5,7,4,22
"85",5,7,5,28
"86",5,7,6,23
"87",5,7,7,17
"88",5,7,8,25
"89",5,7,9,18
"90",5,7,10,25
"91",5,7,11,25
"92",5,7,12,25
"93",5,7,13,28
"94",5,7,14,23
"95",5,7,15,24
"96",5,7,16,23
"97",5,7,17,26
"98",5,7,18,27
"99",5,7,19,24
"100",5,7,20,29
"101",5,7,21,28
"102",5,7,22,24
"103",5,7,23,24
"104",5,7,24,23
"105",5,7,25,23
"106",5,7,26,20
"107",5,7,27,26
"108",5,7,28,25
"109",5,7,29,23
"110",5,7,30,27
"111",5,7,31,22
"112",5,7,32,22
"113",5,7,33,25
"114",5,7,34,29
"115",5,7,35,24
"116",5,7,36,22
"117",5,7,37,21
"118",5,7,38,20
"119",5,7,39,30
"120",5,7,40,30
"121",5,8,1,25
"122",5,8,2,23
"123",5,8,3,27
"124",5,8,4,28
"125",5,8,5,34
"126",5,8,6,30
"127",5,8,7,28
"128",5,8,8,25
"129",5,8,9,30
"130",5,8,10,30
"131",5,8,11,33
"132",5,8,12,30
"133",5,8,13,29
"134",5,8,14,27
"135",5,8,15,33
"136",5,8,16,29
"137",5,8,17,23
"138",5,8,18,30
"139",5,8,19,27
"140",5,8,20,28
"141",5,8,21,29
"142",5,8,22,33
"143",5,8,23,22
"144",5,8,24,24
"145",5,8,25,23
"146",5,8,26,27
"147",5,8,27,31
"148",5,8,28,27
"149",5,8,29,24
"150",5,8,30,30
"151",5,8,31,27
"152",5,8,32,27
"153",5,8,33,30
"154",5,8,34,28
"155",5,8,35,25
"156",5,8,36,24
"157",5,8,37,30
"158",5,8,38,29
"159",5,8,39,27
"160",5,8,40,26
"161",5,9,1,34
"162",5,9,2,29
"163",5,9,3,37
"164",5,9,4,28
"165",5,9,5,31
"166",5,9,6,31
"167",5,9,7,33
"168",5,9,8,27
"169",5,9,9,27
"170",5,9,10,31
"171",5,9,11,29
"172",5,9,12,23
"173",5,9,13,28
"174",5,9,14,33
"175",5,9,15,32
"176",5,9,16,32
"177",5,9,17,33
"178",5,9,18,28
"179",5,9,19,31
"180",5,9,20,25
"181",5,9,21,29
"182",5,9,22,33
"183",5,9,23,34
"184",5,9,24,27
"185",5,9,25,36
"186",5,9,26,31
"187",5,9,27,33
"188",5,9,28,31
"189",5,9,29,30
"190",5,9,30,32
"191",5,9,31,31
"192",5,9,32,26
"193",5,9,33,35
"194",5,9,34,32
"195",5,9,35,28
"196",5,9,36,34
"197",5,9,37,22
"198",5,9,38,31
"199",5,9,39,35
"200",5,9,40,32
"201",5,10,1,36
"202",5,10,2,36
"203",5,10,3,39
"204",5,10,4,32
"205",5,10,5,33
"206",5,10,6,34
"207",5,10,7,35
"208",5,10,8,32
"209",5,10,9,34
"210",5,10,10,31
"211",5,10,11,34
"212",5,10,12,34
"213",5,10,13,31
"214",5,10,14,38
"215",5,10,15,36
"216",5,10,16,33
"217",5,10,17,37
"218",5,10,18,28
"219",5,10,19,32
"220",5,10,20,31
"221",5,10,21,30
"222",5,10,22,33
"223",5,10,23,31
"224",5,10,24,32
"225",5,10,25,35
"226",5,10,26,27
"227",5,10,27,38
"228",5,10,28,39
"229",5,10,29,40
"230",5,10,30,35
"231",5,10,31,35
"232",5,10,32,28
"233",5,10,33,35
"234",5,10,34,34
"235",5,10,35,29
"236",5,10,36,33
"237",5,10,37,33
"238",5,10,38,34
"239",5,10,39,33
"240",5,10,40,27
"1",6,6,1,31
"2",6,6,2,31
"3",6,6,3,34
"4",6,6,4,35
"5",6,6,5,32
"6",6,6,6,36
"7",6,6,7,32
"8",6,6,8,25
"9",6,6,9,27
"10",6,6,10,29
"11",6,6,11,32
"12",6,6,12,24
"13",6,6,13,28
"14",6,6,14,28
"15",6,6,15,34
"16",6,6,16,32
"17",6,6,17,29
"18",6,6,18,31
"19",6,6,19,32
"20",6,6,20,27
"21",6,6,21,29
"22",6,6,22,31
"23",6,6,23,35
"24",6,6,24,31
"25",6,6,25,27
"26",6,6,26,32
"27",6,6,27,36
"28",6,6,28,27
"29",6,6,29,37
"30",6,6,30,38
"31",6,6,31,35
"32",6,6,32,25
"33",6,6,33,28
"34",6,6,34,32
"35",6,6,35,32
"36",6,6,36,30
"37",6,6,37,29
"38",6,6,38,28
"39",6,6,39,36
"40",6,6,40,40
"41",6,10,1,50
"42",6,10,2,47
"43",6,10,3,48
"44",6,10,4,43
"45",6,10,5,44
"46",6,10,6,46
"47",6,10,7,54
"48",6,10,8,53
"49",6,10,9,40
"50",6,10,10,43
"51",6,10,11,46
"52",6,10,12,41
"53",6,10,13,42
"54",6,10,14,44
"55",6,10,15,51
"56",6,10,16,42
"57",6,10,17,46
"58",6,10,18,48
"59",6,10,19,50
"60",6,10,20,45
"61",6,10,21,0
"62",6,10,22,52
"63",6,10,23,44
"64",6,10,24,47
"65",6,10,25,43
"66",6,10,26,36
"67",6,10,27,45
"68",6,10,28,51
"69",6,10,29,46
"70",6,10,30,45
"71",6,10,31,48
"72",6,10,32,56
"73",6,10,33,47
"74",6,10,34,46
"75",6,10,35,36
"76",6,10,36,48
"77",6,10,37,45
"78",6,10,38,42
"79",6,10,39,51
"80",6,10,40,48
"81",10,6,1,95
"82",10,6,2,65
"83",10,6,3,83
"84",10,6,4,81
"85",10,6,5,74
"86",10,6,6,80
"87",10,6,7,86
"88",10,6,8,81
"89",10,6,9,87
"90",10,6,10,91
"91",10,6,11,68
"92",10,6,12,78
"93",10,6,13,79
"94",10,6,14,78
"95",10,6,15,67
"96",10,6,16,67
"97",10,6,17,72
"98",10,6,18,68
"99",10,6,19,78
"100",10,6,20,84
"101",10,6,21,67
"102",10,6,22,66
"103",10,6,23,61
"104",10,6,24,80
"105",10,6,25,87
"106",10,6,26,75
"107",10,6,27,86
"108",10,6,28,76
"109",10,6,29,75
"110",10,6,30,69
"111",10,6,31,83
"112",10,6,32,88
"113",10,6,33,77
"114",10,6,34,108
"115",10,6,35,85
"116",10,6,36,89
"117",10,6,37,67
"118",10,6,38,77
"119",10,6,39,65
"120",10,6,40,80
"121",10,10,1,109
"122",10,10,2,107
"123",10,10,3,106
"124",10,10,4,113
"125",10,10,5,116
"126",10,10,6,113
"127",10,10,7,117
"128",10,10,8,119
"129",10,10,9,116
"130",10,10,10,111
"131",10,10,11,110
"132",10,10,12,127
"133",10,10,13,94
"134",10,10,14,112
"135",10,10,15,117
"136",10,10,16,122
"137",10,10,17,134
"138",10,10,18,114
"139",10,10,19,111
"140",10,10,20,126
"141",10,10,21,115
"142",10,10,22,112
"143",10,10,23,106
"144",10,10,24,113
"145",10,10,25,120
"146",10,10,26,125
"147",10,10,27,118
"148",10,10,28,124
"149",10,10,29,115
"150",10,10,30,113
"151",10,10,31,117
"152",10,10,32,105
"153",10,10,33,119
"154",10,10,34,117
"155",10,10,35,116
"156",10,10,36,101
"157",10,10,37,117
"158",10,10,38,117
"159",10,10,39,112
"160",10,10,40,112
