"","InstNr","n()","min(moves)"
"1",1,15,22
"2",2,20,16
"3",3,17,22
"4",4,15,21
"5",5,20,16
"6",6,20,18
"7",7,18,19
"8",8,20,16
"9",9,25,12
"10",10,20,22
"11",11,20,23
"12",12,18,18
"13",13,20,19
"14",14,19,20
"15",15,16,21
"16",16,15,17
"17",17,20,21
"18",18,25,16
"19",19,15,21
"20",20,15,17
"21",21,15,17
"22",22,20,19
"23",23,20,17
"24",24,15,20
"25",25,25,19
"26",26,20,25
"27",27,20,19
"28",28,20,21
"29",29,15,21
"30",30,20,14
"31",31,20,24
"32",32,20,15
"33",33,20,22
"34",34,20,23
"35",35,20,17
"36",36,20,20
"37",37,18,17
"38",38,25,16
"39",39,20,15
"40",40,20,17
